ID ra dec shotid
4877729396772859649 162.315118 51.8513 20190105020
4877729395218965505 10.58339 0.284574 20190901012
4877729395218965505 10.58339 0.284574 20191121009
4877729397819346945 171.010194 51.96503 20190302032
4877729420974044929 29.232119 0.608992 20190808020
4877729420974044929 29.232119 0.608992 20191121013
4877729388021479169 235.250132 51.363919 20180519016
4877729388021479169 235.250132 51.363919 20180614024
4877729430954432001 17.384864 0.407124 20181107015
4862615754998429229 34.644265 -0.523758 20191006027
4877729396772860673 163.469153 51.951749 20190205016
4877729396772860673 163.469153 51.951749 20200119020
4877729415181645056 196.479133 51.803828 20181219008
4862615758496746284 168.40935 51.773345 20190304017
4877729430952328704 13.740852 -0.180743 20181109009
4877729415183751680 205.205169 51.001529 20190529021
4877729420707673856 11.20182 0.862214 20190808017
4862615767830149380 213.355299 51.982718 20190501015
4862615767830149380 213.355299 51.982718 20190606019
4877729420967727361 14.033889 -0.728634 20191218012
4877729396930208769 169.440685 51.666496 20181214013
4877729396930208769 169.440685 51.666496 20190501019
4862615755799655092 6.743135 -0.144648 20180808025
4877729420974056193 35.907348 0.541857 20181202017
4877729420974056193 35.907348 0.541857 20181210015
4877729420974056193 35.907348 0.541857 20181227007
4877729413835265537 196.203373 50.85629 20200129028
4862615755799741102 9.934594 -0.076869 20181011007
4862615755799741102 9.934594 -0.076869 20181128008
4862615755799741102 9.934594 -0.076869 20181129007
4862615755799741102 9.934594 -0.076869 20181211010
4862615755799741102 9.934594 -0.076869 20181228012
4877729397815152385 170.952815 51.180106 20180212010
4877729388478661888 236.570834 51.483353 20180613023
4877729420969823489 13.401689 -0.286877 20190924014
4877729420969823489 13.401689 -0.286877 20191022016
4862615787731485782 190.87237 51.39851 20180516018
4877729394749089282 25.820837 0.333529 20180914015
4877729402806360833 219.556635 50.82645 20200124029
4877729402806360833 219.556635 50.82645 20200129032
4862615787731629121 199.024667 50.770678 20190412014
4862615787731629121 199.024667 50.770678 20200130017
4877729394359018752 9.152687 -0.44276 20190901018
4877729415181645825 197.238133 51.713478 20190606017
4877729420974045184 29.3762 0.615133 20181202016
4877729420974045184 29.3762 0.615133 20190808020
4877729420974045184 29.3762 0.615133 20191121013
4862615765832531215 210.234057 51.09258 20180415012
4862615765832531215 210.234057 51.09258 20180416011
4862615758496672546 164.142404 51.173292 20180119016
4862615758496672546 164.142404 51.173292 20180221010
4862615767830239494 218.202662 50.702471 20190529023
4877729431225010688 34.305189 0.789791 20190903022
4877729431216622336 34.463444 -0.936262 20191202022
4862615758496627503 161.636379 50.58884 20191207018
4862615758496668454 163.90803 51.012368 20190201013
4862615758496668454 163.90803 51.012368 20190410018
4862615755800060590 21.616535 -0.197189 20181109010
4862615755800060590 21.616535 -0.197189 20181112013
4877729399182543873 187.329551 51.05408 20180417015
4862615787731551309 194.66652 51.218024 20180209013
4862615787731551309 194.66652 51.218024 20180311007
4862615758530173735 161.042735 51.008475 20190204026
4862615758530173735 161.042735 51.008475 20190212020
4877729430950238976 18.128246 -0.512475 20190829010
4877729430950238976 18.128246 -0.512475 20191027021
4877729431222907904 30.990261 0.380882 20181111020
4877729431222907904 30.990261 0.380882 20181204016
4877729402751829763 215.859759 50.816982 20190725007
4877729396923926528 178.216738 51.064266 20180112012
4877729396923926528 178.216738 51.064266 20180113015
4877729396923926528 178.216738 51.064266 20180416019
4877729396930214145 174.349466 52.098584 20191204027
4877729420705577472 11.60643 0.57777 20190802027
4877729420705577472 11.60643 0.57777 20191028014
4877729420705577472 11.60643 0.57777 20191124018
4877729420705577472 11.60643 0.57777 20191125018
4862615755799745193 10.059624 -0.151761 20181129007
4862615755799745193 10.059624 -0.151761 20181228012
4877729401510363904 210.628797 52.179203 20200105030
4862615755799761584 10.629523 -0.176373 20180815017
4862615755799761584 10.629523 -0.176373 20181014009
4877729431222911744 33.209413 0.391205 20191123012
4877729397815170304 187.799214 51.999556 20200127026
4877729396926013441 168.707001 50.646312 20200101023
4877729415179546880 195.380128 51.615969 20190317017
4862615755800056484 21.400963 -0.068829 20181109010
4877729418709101056 16.613704 0.778343 20191004017
4877729413839467521 203.582414 50.731512 20190501025
4877729420969828609 16.401268 -0.287987 20190803027
4877729420969828609 16.401268 -0.287987 20191021015
4877729420969828609 16.401268 -0.287987 20191117013
4877729400774234624 183.376671 50.527741 20191225021
4877729397817255169 176.147325 52.150453 20191223016
4877729397817255169 176.147325 52.150453 20200131021
4862615765832523012 209.692755 51.163543 20180514014
4877729396926011904 167.30711 50.473992 20200126023
4862615767830239489 218.239756 50.754494 20190529023
4877729418709104385 18.49974 0.760901 20191030015
4877729418709104385 18.49974 0.760901 20191119015
4862615787731547214 194.254069 51.154116 20180316016
4862615787731547214 194.254069 51.154116 20180408005
4862615755799810735 12.493478 -0.063739 20181128009
4877729413837366272 199.59456 50.861529 20200106022
4877729413837366528 199.868519 50.806868 20200106022
4877729403557150465 230.105086 51.067963 20180224006
4877729403557150465 230.105086 51.067963 20180516009
4877729396930208000 168.770031 51.393929 20190307026
4877729420974020865 15.170173 0.512043 20191123015
4877729413843655424 198.011452 52.215481 20200202026
4877729394751186945 26.186716 0.717615 20181210007
4877729394751186945 26.186716 0.717615 20190929015
4877729394751186945 26.186716 0.717615 20191123011
4877729420969842432 24.484716 -0.234427 20180821022
4877729420969842432 24.484716 -0.234427 20181128011
4877729420969842432 24.484716 -0.234427 20190104010
4877729394751186176 25.626651 0.757749 20190810017
4877729394751186176 25.626651 0.757749 20190901015
4877729402806358528 217.739559 51.414321 20190202016
4877729402806358528 217.739559 51.414321 20190408033
4877729402806355457 215.095026 52.219287 20190625017
4877729420969860096 34.762334 -0.357884 20190812013
4877729420969860096 34.762334 -0.357884 20190904021
4877729396928126720 183.806914 52.241675 20200127025
4862615758530280233 166.956546 52.152843 20200104027
4877729397815162624 180.544996 51.790603 20190108015
4877729431216620034 33.16862 -0.843838 20200114011
4877729394742803712 29.26093 -0.910693 20191216013
4877729394742803712 29.26093 -0.910693 20191218015
4862615754998421039 34.38727 -0.624206 20200125013
4877729431218707968 27.675049 -0.452163 20190926012
4862615755799700145 8.356472 -0.148987 20180821018
4862615755799700145 8.356472 -0.148987 20181103012
4877729396923938560 189.4312 51.158581 20180208014
4877729396923938560 189.4312 51.158581 20180415009
4877729396923938560 189.4312 51.158581 20180519008
4877729401508267777 211.351832 51.65775 20190721012
4862615754998441541 35.113842 -0.444916 20190927027
4877729415187944704 204.379606 51.980832 20190504013
4877729399182548480 191.67182 50.880866 20181219007
4877729399182548480 191.67182 50.880866 20190427021
4862615765831781637 165.451839 52.177584 20200202029
4877729411608121344 222.277052 51.227857 20180417019
4877729418709108224 20.811382 0.70882 20191027017
4877729418709108224 20.811382 0.70882 20191118015
4862615767830169868 214.607396 51.713781 20190112031
4877729399180448769 189.284763 50.705911 20190621012
4877729420976129792 22.06508 0.884422 20190903020
4877729420976129792 22.06508 0.884422 20191229015
4877729410691636481 189.678205 50.939559 20181215035
4877729410691636481 189.678205 50.939559 20190207020
4877729400776324096 176.29457 50.713966 20190315015
4877729397817245184 167.023067 51.00737 20190308009
4877729397817245184 167.023067 51.00737 20190325013
4877729430950238465 17.792548 -0.473199 20190908018
4877729397817242368 164.386443 50.469446 20200124017
4877729400776333825 185.342218 50.874191 20191230028
4877729413841560321 199.678984 51.77241 20190105028
4877729394742791425 22.125042 -0.927022 20191227013
4877729420969861633 35.745369 -0.35536 20190831009
4877729420969861633 35.745369 -0.35536 20190901017
4877729396926031360 185.516488 51.814304 20190212014
4862615767830227205 217.574542 50.945457 20190114018
4862615767830227205 217.574542 50.945457 20190504015
4862615758496754472 168.862667 51.817694 20190405024
4862615758496754472 168.862667 51.817694 20191226017
4862615758496754472 168.862667 51.817694 20200104026
4877729388476563457 235.230456 51.577803 20180618019
4877729413839459072 195.696396 51.629133 20190621013
4877729396928105472 164.144029 50.391723 20200124017
4877729415181640705 192.271408 52.084645 20200105027
4862615758496783142 170.411647 52.159871 20191231030
4862615767863740675 215.728576 51.859704 20190104026
4862615767863740675 215.728576 51.859704 20200126033
4877729396926016768 171.760284 51.046422 20180209011
4877729396926016768 171.760284 51.046422 20180213020
4877729403552955136 228.451771 50.83152 20190506015
4877729394359025664 13.269155 -0.530151 20190927023
4877729399180442880 183.807018 50.744288 20190429020
4877729399180442880 183.807018 50.744288 20200124023
4877729420705572096 8.468654 0.596381 20181226008
4877729420705572096 8.468654 0.596381 20190730011
4862615765832420617 204.117043 52.232773 20200105029
4877729431222916097 35.785483 0.36417 20181111021
4877729431222916097 35.785483 0.36417 20181202018
4877729431222916097 35.785483 0.36417 20181205014
4877729413841557249 196.917068 51.915996 20190630012
4877729413841557249 196.917068 51.915996 20200126030
4877729396926015745 170.803088 50.827645 20190507009
4877729396926015745 170.803088 50.827645 20190529014
4877729396928120320 177.784955 51.982274 20190506010
4862615765832453391 206.022935 51.966659 20190407025
4862615765832453391 206.022935 51.966659 20190502014
4877729395218963457 9.414153 0.219556 20181106013
4877729395218963457 9.414153 0.219556 20181108016
4877729411610217984 222.40522 51.69447 20190507013
4862615758496615211 160.955095 50.608635 20191203027
4862615758530239274 164.789186 51.644522 20190213022
4877729396772859393 162.292971 51.734173 20190104016
4877729396772859393 162.292971 51.734173 20190105020
4877729397813067264 182.325634 51.534635 20190208023
4877729397813067264 182.325634 51.534635 20190403020
4862615754998388261 33.225759 -0.438702 20191026023
4877729418709091328 10.859408 0.817797 20190923012
4877729413845756673 201.955892 52.314562 20200107025
4862615758530165550 160.637704 50.84652 20181204027
4862615758530165550 160.637704 50.84652 20181210024
4877729402802165504 218.28056 50.46124 20200106024
4877729396928135682 192.333317 51.967631 20190307030
4877729420974024192 17.074159 0.581398 20190808018
4877729411727685121 224.151422 50.746734 20190512016
4877729411612316161 223.437436 51.696591 20190202017
4877729397823537152 167.006009 52.291681 20200104027
4877729418709089280 9.663412 0.769422 20190811017
4877729402747634944 214.868283 50.294978 20200101028
4877729413845764353 208.978762 51.04663 20180317011
4877729413845764353 208.978762 51.04663 20180416024
4877729418709097729 14.703822 0.793829 20190806021
4862615754998400553 33.626318 -0.490342 20191101021
4877729396930213633 173.977279 52.179411 20200104028
4862615768055313450 231.403186 51.228429 20180518019
4862615758530239272 164.662022 51.588201 20190207016
4862615758530239272 164.662022 51.588201 20190213022
4877729396926015233 170.456625 50.854886 20190502020
4862615787731510345 192.105771 51.297891 20180509007
4862615787731510345 192.105771 51.297891 20190201016
4862615787731510345 192.105771 51.297891 20190316021
4877729399180445696 186.387362 50.784446 20190504023
4877729415185847809 204.407491 51.538268 20190104024
4862615758530272044 166.50249 52.019762 20191208023
4877729431218697984 21.808035 -0.453544 20190831012
4862615755032004136 35.350445 -0.064279 20180910020
4862615755032004136 35.350445 -0.064279 20180913022
4862615755032004136 35.350445 -0.064279 20180915016
4862615755032004136 35.350445 -0.064279 20181204017
4862615755032004136 35.350445 -0.064279 20191221016
4877729403552954624 228.187392 51.085813 20180224004
4877729403552954624 228.187392 51.085813 20190509013
4877729420974033409 22.594776 0.527482 20181228015
4862615755766149804 8.616263 -0.517042 20190831010
4877729402802165248 218.014403 50.540694 20200106024
4877729397815172097 189.711078 51.899896 20190605007
4877729396926016512 171.703551 50.993302 20181215032
4862615755799827115 13.0745 -0.202904 20180820018
4877729400776333824 185.30303 50.845121 20191230028
4877729402865072385 226.440923 51.446468 20190706014
4862615758496733992 167.731759 51.835808 20190301016
4862615758496733992 167.731759 51.835808 20200131019
4862615754998445608 35.264833 -0.523403 20190927027
4862615767863716105 214.494852 52.236621 20190402025
4877729420974044416 29.037149 0.500826 20191229016
4862615758496619306 161.265094 50.535326 20191203027
4862615755799806637 12.282196 -0.147621 20181128009
4862615755799806637 12.282196 -0.147621 20181227003
4877729400774234880 183.556454 50.449921 20191225021
4877729420969829120 16.640257 -0.298565 20190803027
4877729420969829120 16.640257 -0.298565 20191023017
4877729420969829120 16.640257 -0.298565 20191117013
4862615787731530817 193.354186 51.286829 20180612015
4877729420974034177 22.991879 0.492319 20191221013
4862615767830194441 215.953419 51.333565 20180517017
4862615767830194441 215.953419 51.333565 20190505028
4877729399182548481 191.682685 50.885155 20181219007
4877729399182548481 191.682685 50.885155 20190427021
4877729411723486209 219.615494 51.403804 20180507009
4877729420974022145 15.981432 0.522855 20181226010
4877729430950240769 19.16629 -0.480337 20191023023
4877729420969847040 27.106038 -0.36071 20191125015
4877729418709103873 18.319038 0.817601 20191030015
4877729410691641601 194.572093 50.538706 20200106021
