detectid fwhm throughput fluxlimit_4540 shotid field n_ifu gmag_err gmag ra dec date obsid wave wave_err flux flux_err linewidth linewidth_err continuum continuum_err sn sn_err chi2 chi2_err multiframe fibnum x_raw y_raw amp chi2fib detectname expnum fiber_id ifuid ifuslot inputid noise_ratio specid weight x_ifu y_ifu combined_continuum combined_continuum_err combined_plae combined_plae_err mag_sdss_g mag_sdss_g_err plae_classification plae_sdss_g plae_sdss_g_max plae_sdss_g_min vis_class
2101631158 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.986209869384766 26.986209869384766 202.75189208984375 52.299652099609375 20200107 26 3847.300048828125 0.6499999761581421 13.460000038146973 2.240000009536743 3.259999990463257 0.6200000047683716 -0.05000000074505806 0.11999999731779099 6.340000152587891 0.8999999761581421 1.1200000047683716 0.23000000417232513 multi_313_023_010_LU 27 179 251 LU 0.708089292049408 "HETDEX J133100.45+521758.7" 2 20200107026_2_multi_313_023_010_LU_027 010 023 20200107v026_313_023_010_002 0.9399999976158142 313 0.35269999504089355 -5.079999923706055 -15.420000076293945 3.7053291875492623e-19 2.568419583419762e-19 1000.0 0.0 26.986209869384766 1.1124275922775269 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631234 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.8431396484375 24.8431396484375 202.65310668945312 52.29371643066406 20200107 26 4516.97021484375 0.8500000238418579 10.109999656677246 1.8899999856948853 4.0 0.8500000238418579 0.009999999776482582 0.09000000357627869 5.659999847412109 0.8600000143051147 0.9800000190734863 0.2199999988079071 multi_317_024_038_RU 16 523 156 RU 1.2118828296661377 "HETDEX J133036.75+521737.4" 2 20200107026_2_multi_317_024_038_RU_016 038 024 20200107v026_317_024_038_005 1.0399999618530273 317 0.4510999917984009 -15.25 24.239999771118164 8.617586233141225e-19 1.9520853703019402e-19 341.5830383300781 658.4169921875 24.8431396484375 0.20046466588974 0.9516198039054871 1000.0 1000.0 1000.0 5
2101631301 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.780893325805664 26.780893325805664 202.84109497070312 52.256591796875 20200107 26 3894.2099609375 0.5199999809265137 17.469999313354492 2.009999990463257 3.8499999046325684 0.5099999904632568 -0.11999999731779099 0.09000000357627869 10.539999961853027 0.9100000262260437 1.1299999952316284 0.2199999988079071 multi_321_042_030_RL 104 200 936 RL 0.923461377620697 "HETDEX J133121.86+521523.7" 1 20200107026_1_multi_321_042_030_RL_104 030 042 20200107v026_321_042_030_001 0.8999999761581421 321 0.5023999810218811 21.610000610351562 0.0 7.007451770448966e-19 3.1666469421757684e-19 1000.0 0.0 26.780893325805664 1.0740758180618286 0.9536372423171997 1000.0 1000.0 1000.0 5
2101631322 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.797143936157227 24.797143936157227 202.7845916748047 52.24940872192383 20200107 26 3756.4599609375 0.6600000262260437 15.329999923706055 2.759999990463257 3.0199999809265137 0.6100000143051147 -0.14000000059604645 0.14000000059604645 5.980000019073486 0.949999988079071 1.0399999618530273 0.2199999988079071 multi_323_043_040_LU 85 135 772 LU 1.469119906425476 "HETDEX J133108.30+521457.9" 1 20200107026_1_multi_323_043_040_LU_085 040 043 20200107v026_323_043_040_001 1.0 323 0.3978999853134155 -3.809999942779541 -22.030000686645508 9.003838220172861e-19 1.739999363170641e-19 1000.0 0.0 24.797143936157227 0.18137505650520325 0.9536372423171997 1000.0 1000.0 1000.0 5
2101631339 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 25.467798233032227 25.467798233032227 202.74212646484375 52.15004348754883 20200107 26 4280.68017578125 0.7799999713897705 9.760000228881836 1.6399999856948853 4.230000019073486 0.8299999833106995 -0.05000000074505806 0.07000000029802322 5.71999979019165 0.8999999761581421 0.949999988079071 0.2199999988079071 multi_324_075_055_LU 112 401 1008 LU 3.8439297676086426 "HETDEX J133058.11+520900.2" 3 20200107026_3_multi_324_075_055_LU_112 055 075 20200107v026_324_075_055_006 1.2100000381469727 324 0.40470001101493835 -22.8799991607666 -24.239999771118164 1.2066882341590011e-19 3.060984958679776e-19 1000.0 0.0 25.467798233032227 0.3627932369709015 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631410 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 nan nan 202.95211791992188 52.160335540771484 20200107 26 4727.1298828125 0.7599999904632568 7.820000171661377 1.5499999523162842 3.0399999618530273 0.6499999761581421 -0.1599999964237213 0.07999999821186066 5.590000152587891 0.8799999952316284 1.0499999523162842 0.2199999988079071 multi_327_081_017_RU 99 619 902 RU 1.6798268556594849 "HETDEX J133148.51+520937.2" 2 20200107026_2_multi_327_081_017_RU_099 017 081 20200107v026_327_081_017_027 1.0 327 0.3305000066757202 21.610000610351562 13.220000267028809 9.199920867390673e-20 1.791957550125423e-19 1000.0 0.0 nan -999.9990234375 0.9990010261535645 0.0 -999.9990234375 -999.9990234375 5
2101631442 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.720657348632812 27.720657348632812 202.6422882080078 52.08220672607422 20200107 26 4788.47998046875 0.800000011920929 12.270000457763672 2.25 3.819999933242798 0.8199999928474426 -0.07000000029802322 0.10000000149011612 6.559999942779541 0.8799999952316284 1.1799999475479126 0.2199999988079071 multi_329_088_029_RU 37 649 342 RU 1.2717655897140503 "HETDEX J133034.15+520455.9" 3 20200107026_3_multi_329_088_029_RU_037 029 088 20200107v026_329_088_029_002 0.9599999785423279 329 0.36079999804496765 -19.06999969482422 22.030000686645508 1.2373635809406766e-19 2.4905730989845135e-19 1000.0 0.0 27.720657348632812 -999.9990234375 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631443 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.512792587280273 26.512792587280273 202.63978576660156 52.08354187011719 20200107 26 5356.330078125 0.7699999809265137 10.300000190734863 1.7799999713897705 3.8499999046325684 0.75 -0.11999999731779099 0.07999999821186066 5.590000152587891 0.9200000166893005 1.0 0.2199999988079071 multi_329_088_029_RU 96 936 874 RU 1.4598480463027954 "HETDEX J133033.55+520500.8" 1 20200107026_1_multi_329_088_029_RU_096 029 088 20200107v026_329_088_029_003 1.2100000381469727 329 0.2833000123500824 -20.34000015258789 15.420000076293945 6.899651783563465e-20 1.3617830480490453e-19 1000.0 0.0 26.512792587280273 1.0864803791046143 0.9990010261535645 1000.0 1000.0 599.9820556640625 5
2101631494 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.228321075439453 27.228321075439453 202.79331970214844 52.148956298828125 20200107 26 5449.93017578125 0.46000000834465027 6.989999771118164 1.190000057220459 1.9199999570846558 0.47999998927116394 -0.3499999940395355 0.07999999821186066 5.920000076293945 0.9800000190734863 1.1799999475479126 0.23999999463558197 multi_403_074_070_RU 37 1005 340 RU 0.8110769987106323 "HETDEX J133110.40+520856.2" 2 20200107026_2_multi_403_074_070_RU_037 070 074 20200107v026_403_074_070_004 1.059999942779541 403 0.3156999945640564 -19.06999969482422 22.030000686645508 2.662279767526154e-19 2.603657477514521e-19 8.520305633544922 311.2300720214844 27.228321075439453 1.5615050792694092 0.8949613571166992 1000.0 1000.0 980.7057495117188 5
2101631507 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 28.20026206970215 28.20026206970215 202.83033752441406 52.17029571533203 20200107 26 5400.490234375 0.30000001192092896 10.199999809265137 1.100000023841858 2.2799999713897705 0.27000001072883606 -0.10000000149011612 0.07000000029802322 7.329999923706055 1.0199999809265137 1.1399999856948853 0.23000000417232513 multi_404_073_071_LU 70 970 636 LU 3.25486421585083 "HETDEX J133119.28+521013.1" 2 20200107026_2_multi_404_073_071_LU_070 071 073 20200107v026_404_073_071_008 1.3200000524520874 404 0.33070001006126404 -15.25 -19.829999923706055 2.0634486961699544e-19 1.285585108725221e-19 461.2620849609375 538.7379150390625 28.20026206970215 -999.9990234375 0.997836709022522 1000.0 1000.0 1000.0 5
2101631569 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.357236862182617 27.357236862182617 202.86541748046875 52.268070220947266 20200107 26 4719.27001953125 0.49000000953674316 9.390000343322754 1.100000023841858 3.5299999713897705 0.4699999988079071 -0.27000001072883606 0.05999999865889549 5.739999771118164 0.8999999761581421 1.0199999809265137 0.2199999988079071 multi_407_041_021_LU 70 621 634 LU 1.4258859157562256 "HETDEX J133127.70+521605.1" 3 20200107026_3_multi_407_041_021_LU_070 021 041 20200107v026_407_041_021_004 1.590000033378601 407 0.3319999873638153 -15.25 -19.829999923706055 2.3840200868724367e-19 1.7004948973257277e-19 1000.0 0.0 27.357236862182617 2.077645778656006 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631606 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.540830612182617 24.540830612182617 202.86050415039062 52.28401184082031 20200107 26 4262.0400390625 0.3799999952316284 13.369999885559082 1.399999976158142 2.9600000381469727 0.36000001430511475 0.15000000596046448 0.07000000029802322 8.550000190734863 0.9599999785423279 1.059999942779541 0.2199999988079071 multi_408_031_049_RU 11 390 113 RU 1.9317079782485962 "HETDEX J133126.52+521702.4" 1 20200107026_1_multi_408_031_049_RU_011 049 031 20200107v026_408_031_049_020 1.2799999713897705 408 0.3449999988079071 -2.5399999618530273 24.239999771118164 2.2256154648576265e-18 2.724119531626677e-19 38.51677703857422 50.52855682373047 24.540830612182617 0.16979622840881348 0.9307495951652527 1000.0 1000.0 1000.0 5
2101631666 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.688081741333008 26.688081741333008 202.8643798828125 52.284366607666016 20200107 26 4347.75 0.7699999809265137 16.420000076293945 2.7799999713897705 3.869999885559082 0.9100000262260437 -0.15000000596046448 0.12999999523162842 5.75 0.8999999761581421 0.9700000286102295 0.20999999344348907 multi_408_031_049_RU 8 434 87 RU 1.5836992263793945 "HETDEX J133127.45+521703.7" 3 20200107026_3_multi_408_031_049_RU_008 049 031 20200107v026_408_031_049_113 1.2300000190734863 408 0.24950000643730164 5.079999923706055 24.239999771118164 1.1673956040990838e-19 3.021589965019055e-19 1000.0 0.0 26.688081741333008 1.7782782316207886 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631687 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 24.68328857421875 24.68328857421875 202.86050415039062 52.28396987915039 20200107 26 4262.08984375 0.38999998569488525 13.149999618530273 1.3200000524520874 3.119999885559082 0.4399999976158142 0.15000000596046448 0.07000000029802322 7.380000114440918 0.8199999928474426 1.059999942779541 0.2199999988079071 multi_408_031_049_RU 11 387 113 RU 1.9317079782485962 "HETDEX J133126.52+521702.3" 1 20200107026_1_multi_408_031_049_RU_011 049 031 20200107v026_408_031_049_144 1.4500000476837158 408 0.3912000060081482 -2.5399999618530273 24.239999771118164 2.1672909598665125e-18 2.7185957745924125e-19 45.70398712158203 45.475852966308594 24.68328857421875 0.1862705647945404 0.9344353079795837 1000.0 1000.0 1000.0 5
2101631738 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.438365936279297 26.438365936279297 202.74473571777344 52.318748474121094 20200107 26 4335.6201171875 0.5899999737739563 6.820000171661377 1.3799999952316284 2.069999933242798 0.6299999952316284 -0.17000000178813934 0.09000000357627869 5.690000057220459 0.9300000071525574 1.0199999809265137 0.23000000417232513 multi_412_013_043_RU 105 421 955 RU 0.8672673106193542 "HETDEX J133058.74+521907.5" 1 20200107026_1_multi_412_013_043_RU_105 043 013 20200107v026_412_013_043_003 1.0199999809265137 412 0.33070001006126404 6.360000133514404 13.220000267028809 8.295901379786064e-19 3.025504338774021e-19 344.4761962890625 655.5238037109375 26.438365936279297 0.7715020775794983 0.9971054196357727 1000.0 1000.0 1000.0 5
2101631755 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 26.423625946044922 26.423625946044922 202.54396057128906 52.2517204284668 20200107 26 3670.43994140625 0.6299999952316284 19.149999618530273 2.4100000858306885 4.75 0.7400000095367432 0.10000000149011612 0.10000000149011612 5.630000114440918 0.8999999761581421 1.0499999523162842 0.23000000417232513 multi_413_028_042_LU 101 97 918 LU 2.256221055984497 "HETDEX J133010.55+521506.2" 2 20200107026_2_multi_413_028_042_LU_101 042 028 20200107v026_413_028_042_007 1.5199999809265137 413 0.48350000381469727 5.079999923706055 -24.239999771118164 3.243377249771953e-19 3.102896390860248e-19 1000.0 0.0 26.423625946044922 0.9379222393035889 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631804 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.346771240234375 27.346771240234375 202.5756378173828 52.18936538696289 20200107 26 5117.18994140625 0.8299999833106995 8.300000190734863 1.4800000190734863 4.309999942779541 0.8899999856948853 -0.05999999865889549 0.07000000029802322 5.769999980926514 0.8700000047683716 1.0099999904632568 0.23000000417232513 multi_415_048_067_RL 20 817 187 RL 1.683990240097046 "HETDEX J133018.15+521121.7" 2 20200107026_2_multi_415_048_067_RL_020 067 048 20200107v026_415_048_067_011 1.0800000429153442 415 0.3822999894618988 -12.710000038146973 11.020000457763672 1.013139473801986e-19 1.435606720520901e-19 1000.0 0.0 27.346771240234375 1.8703129291534424 0.9990010261535645 1000.0 1000.0 1000.0 5
2101631834 1.2900540828704834 0.11949999630451202 6.871542355000002e-17 20200107026 dex-spring 62 27.069889068603516 27.069889068603516 202.60641479492188 52.14726638793945 20200107 26 5040.8798828125 0.8399999737739563 8.180000305175781 1.7599999904632568 3.390000104904175 0.7699999809265137 -0.10999999940395355 0.09000000357627869 5.800000190734863 0.8999999761581421 1.0800000429153442 0.2199999988079071 multi_417_068_016_LU 105 790 951 LU 1.6798927783966064 "HETDEX J133025.54+520850.2" 1 20200107026_1_multi_417_068_016_LU_105 016 068 20200107v026_417_068_016_016 0.8899999856948853 417 0.28200000524520874 -5.079999923706055 -24.239999771118164 2.395067342447024e-19 1.488064188523541e-19 1000.0 403.0396728515625 27.069889068603516 2.3108789920806885 0.9990010261535645 1000.0 1000.0 1000.0 5
