ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
208.1484832763672 50.9995002746582 20180418009 106 LU 4446.509765625 47 1000256393 N/A good 24.298092849005638 16.229999542236328 5.400000095367432
208.23435974121094 51.19684982299805 20180418009 42 LU 4218.14990234375 99 1000256660 N/A good 26.05568419231611 15.399999618530273 3.7200000286102295
208.18115234375 51.028011322021484 20180418009 95 LL 4292.259765625 77 1000256702 N/A good 27.196908907566417 15.739999771118164 3.859999895095825
214.51080322265625 51.148006439208984 20180418010 46 RU 3871.10009765625 91 1000257640 N/A good 27.202338256575715 35.619998931884766 3.8399999141693115
222.13771057128906 51.04669189453125 20180505007 86 RU 4791.52001953125 99 1000268935 N/A good 25.903235723005345 11.289999961853027 3.369999885559082
229.4916534423828 51.19489288330078 20180505008 42 LU 4128.97998046875 16 1000269164 N/A good 24.792642089121525 22.579999923706055 3.8399999141693115
229.45736694335938 51.065364837646484 20180505008 84 LL 4583.580078125 1 1000269371 N/A good 24.459064136242464 17.6299991607666 6.179999828338623
229.3929901123047 51.07908630371094 20180505008 75 RL 4786.83984375 63 1000269438 N/A good 24.259812290828464 19.079999923706055 3.059999942779541
229.3622283935547 51.21957015991211 20180505008 24 RL 4920.5400390625 83 1000269453 N/A good 24.843830884512244 11.670000076293945 4.920000076293945
213.92889404296875 51.115753173828125 20180507008 72 LU 3933.6298828125 40 1000274507 N/A good 23.45521208215702 45.25 4.579999923706055
213.7139434814453 51.17465591430664 20180507008 36 RU 3914.52001953125 1 1000274627 N/A good 25.10402614798864 23.309999465942383 3.0299999713897705
213.9252471923828 51.104373931884766 20180507008 72 RU 4038.590087890625 53 1000274634 N/A good 25.76914624630183 24.950000762939453 2.4700000286102295
219.70455932617188 51.417781829833984 20180507009 34 LL 5144.89013671875 20 1000274923 N/A good 25.03480824563723 28.690000534057617 4.28000020980835
219.857666015625 51.24128341674805 20180507009 103 RL 3815.06005859375 28 1000275082 N/A good 24.112824503701347 31.809999465942383 4.519999980926514
219.79083251953125 51.428688049316406 20180507009 32 RU 4207.759765625 31 1000275188 N/A good 25.100916104569485 13.25 3.2799999713897705
219.7044219970703 51.418060302734375 20180507009 34 LL 5145.240234375 39 1000275211 N/A good 25.717694606750708 20.780000686645508 4.309999942779541
219.7734832763672 51.39645004272461 20180507009 43 RU 4391.35986328125 41 1000275216 N/A good 26.116323374341555 42.099998474121094 3.680000066757202
182.78688049316406 51.31941223144531 20180507014 43 LU 5317.97021484375 92 1000276882 N/A good 25.063708185660154 40.2599983215332 7.190000057220459
182.77346801757812 51.29840087890625 20180507014 33 LL 4817.7998046875 10 1000276904 N/A good 24.39246430433366 16.040000915527344 2.990000009536743
182.77325439453125 51.298458099365234 20180507014 33 LL 4817.77978515625 29 1000276954 N/A good 24.185787492641907 18.729999542236328 3.109999895095825
182.7869415283203 51.31995391845703 20180507014 43 LU 5317.31982421875 72 1000277120 N/A good 25.02984842465976 14.680000305175781 5.590000152587891
188.4576416015625 51.42666244506836 20180507015 83 LL 4960.33984375 65 1000277335 N/A good 24.385964286344475 15.800000190734863 4.769999980926514
188.60585021972656 51.45138931274414 20180507015 106 RL 4822.35009765625 69 1000277357 N/A good 24.747822352213777 9.369999885559082 2.5799999237060547
188.4298095703125 51.40523910522461 20180507015 73 LL 4038.550048828125 15 1000277375 N/A good 24.1804447296788 14.6899995803833 2.880000114440918
188.3549041748047 51.272239685058594 20180507015 23 LL 4899.3701171875 85 1000277399 N/A good 24.44868051818759 9.739999771118164 3.059999942779541
188.31625366210938 51.283512115478516 20180507015 22 LL 5096.18994140625 47 1000277440 N/A good 27.281748275637035 8.029999732971191 2.809999942779541
188.4528045654297 51.42770004272461 20180507015 83 LL 4399.85986328125 61 1000277539 N/A good 24.118103810695317 17.950000762939453 3.049999952316284
188.5625762939453 51.37099075317383 20180507015 76 LL 4543.52978515625 5 1000277625 N/A good 25.29900267436829 15.140000343322754 3.4600000381469727
188.56275939941406 51.370880126953125 20180507015 76 LL 4543.56005859375 5 1000277687 N/A good 24.874253873813625 14.619999885559082 3.8399999141693115
188.3758544921875 51.32289505004883 20180507015 43 LU 4298.6201171875 79 1000277705 N/A good 25.274729774803472 10.819999694824219 2.7799999713897705
